ID	Text	Lat	Long	Location	Dialect	Genre	YoC	YoM	AuthName	AuthBD	AuthSex	AuthAge	RecName	RecBD	RecSex	RecAge	RecRelation	Words	OCWords	NamWords	ForWords	Types	OCTypes	NamTypes	ForTypes	Chars	OCChars	NamChars	ForChars	Tokens	Verb	Clause	PP	Nom	Dat	Acc	NomVerb	DatVerb	AccVerb	NomDat	NomAcc	DatAcc	Pas	NomCP	DatCP	AccCP	NomSize	DatSize	AccSize	Adj
coboeth.o2,Bo:27.64.19.1200	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccDefinite	NA	NA	NA	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	3	NA
coboeth.o2,Bo:27.64.19.1200	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	NoIO	NomPronoun	DatNull	AccDefinite	NA	NA	NA	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	3	NA
coboeth.o2,Bo:27.64.19.1200	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomEmpty	DatDefinite	AccIndefinite	NA	DatV	AccV	NA	NA	AccDat	ACT	NomNoCP	DatNoCP	AccNoCP	NA	2	2	PreverbAdjacent
coboeth.o2,Bo:29.67.14.1251	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	SUB	DP	NomDefinite	DatDefinite	AccWHPronoun	VNom	VDat	NA	NomDat	NA	NA	ACT	NomNoCP	DatNoCP	AccNoCP	4	4	NA	NomIntervene
coboeth.o2,Bo:29.67.15.1252	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	SUB	DP	NomPronoun	DatIndefinite	AccWHPronoun	VNom	VDat	NA	NomDat	NA	NA	ACT	NomNoCP	DatNoCP	AccNoCP	1	2	NA	NomIntervene
coboeth.o2,Bo:30.68.16.1273	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	NoIO	NomPronoun	DatNull	AccCP	NomV	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	1	NA	NA	NA
coboeth.o2,Bo:30.68.16.1273	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomPronoun	DatPronoun	AccIndefinite	NomV	DatV	AccV	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	2	PreverbDOIntervene
coboeth.o2,Bo:30.69.21.1288	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	DP	NomIndefinite	DatConj	AccIndefinite	NomV	VDat	VAcc	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	2	1	Adjacent
coboeth.o2,Bo:31.70.13.1307	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	MAT	NoIO	NomPronoun	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	1	NA	NA	NA
coboeth.o2,Bo:31.70.13.1307	coboeth	x	x	x	WS	P	900	950	x	xxxx	x	xx	x	xxxx	x	xx	x	51200	17252	0	1	6847	4765	0	1	226906	101858	0	11	3003	OLDENG	_	DP	NomIndefinite	DatDefinite	AccWHIndefinite	NomV	VDat	NA	NomDat	NA	NA	ACT	NomNoCP	DatNoCP	AccNoCP	2	2	NA	Adjacent
